Name,Product Category,Secondary Product Category,Issuer/Asset Category,Asset Sub-categories,Summary,Launch status,Custodial/Non-custodial,Private/public blockchain,Chain,"Project tokens (Utility, Stable)",Founded,Location,"Assets, regions",Stats,URL,Twitter,Discord,Date added
4K,Investment platform,Tokenization platform,Collectibles and Alternatives,Collectibles,"All the World's Assets, On-Chain. 4K is the first decentralized protocol for bringing physical assets on-chain. We turn humanity’s most treasured objects into physically-backed NFT’s, unlocking secure & frictionless exchange and ultimate individual freedom. Imagine a network with thousands of physical nodes located all over the world. Each node is responsible for ensuring that a physical collectible stored on the blockchain is legitimate, accessible and protected. 1:1 Backed: Each NFT is backed by the unique and specific physical collectible.

Staking native 4K tokens secures services on the protocol, while unlocking protocol fees and rewards.  eCommerce: Enable tokenization on your eCommece store and expand revenue channels.
",Live,Non-custodial,Public,"Ethereum,Polygon",$4K,2021,,,790 tokenized collectibles on the marketplace as of Oct'23,https://4k.com/,https://twitter.com/4kprotocol,https://discord.com/invite/b2Eta6g65D,15/10/2023
10XTS,Tokenization platform ,,- Asset-agnostic,Real estate,"Asset Tokenization: Tokenize your real world assets and securities as digital, programmable instruments for primary offerings and secondary market trading.

ComplyBase is designed to guide you through the process of setting up a long-term solution for governance, risk, and compliance of your securities.

Tokenized Asset Market Infrastructure
Digital transformation for advanced enterprises and institutions working to implement Web3 and tokenized asset technology.",Closed beta,Custodial,?,?,-,2017,"US (OH, Cincinnati)",,,https://10xts.com/,https://twitter.com/GO10XTS,-,15/10/2023
360x,Investment platform,,Real Estate,"Real estate,Collectibles","We empower you to buy and sell tokenised rights in expert-verified, high-quality art, music and real estate assets. 
Aggregates data from other Investment Platforms like 360x and tectrex. 
BaFin-regulated.
Built on SolarisBank and Cashlink",Waitlist,?,?,?,-,2021,DE,,,https://www.360x.com,https://twitter.com/360X_AG,,15/9/2023
360xart,Investment platform,,Collectibles and Alternatives,Collectibles,We are here to open up the art market. We will soon be launching a new platform that enables art owners to tokenize and share their artworks with communities of art enthusiasts who want to own virtual art tokens of real masterpieces.,Waitlist,?,?,?,-,2021,DE,,,https://www.360xart.com,https://twitter.com/360xart,,15/9/2023
Aconomy,Assets DEX,,Collectibles and Alternatives,Collectibles,"A one-for-all Asset-backed DEX to trade physical assets on-chain as NFTs. A product of @PandoraProtocol. Aconomy is a real-world assets-backed 1:1 DEX where anyone can tokenize and trade any real-world asset on-chain ranging from watches, and art to luxury collectibles, forging a parallel on-chain economy. 
As an asset tokenization platform, Aconomy is transforming how we interact with tangible assets by democratizing on-chain asset ownership with the dematerialization of RWAs.  Get your asset validated as a non-fungible token (pi-nft), establishing its uniqueness and ownership -> choose a validator of your choice -> your pi-nft ready within minutes. Use NFT collectibles as collateral for loans. ",Testnet,Non-custodial,Public,"Polygon,Arbitrum",-,,,,,https://www.aconomy.io,https://twitter.com/0xAconomy,-,19/9/2023
Acquire.Fi,Investment platform,Crowdfunding,Equity and Stocks,Private equities,"The #1 marketplace for buying and selling Web3 companies
Acquire is the first online marketplace dedicated solely to cryptocurrency businesses, where you can buy, sell, and browse through hundreds of available businesses. Start your own bitcoin business and cash in on the rising demand for digital currency. Thanks to our large clientele base, we can help you locate the ideal business with relative ease. Acquire can help you whether you want to buy an existing company or start a new one from scratch.Mergers and Acquisitions: We identify acquisition targets, conduct due diligence, and facilitate deals to connect sellers with buyers, creating strategic synergies for our clients while leveraging our network of investors and outreach to potential investors. Fundraising: our company structures and executes tailored fundraising strategies, whether through private placements, IPOs, or debt offerings, to secure capital for client growth.",Live,Custodial,?,?,$ACQ,2022,,,,https://www.acquire.fi/,https://twitter.com/Acquire_Fi,https://discord.com/invite/RAgFeeGv5M,3/12/2023
ADDX,Assets CEX,,- Asset-agnostic,"Private equities,Private debt",Fractional access via blockchain to top-tier private markets that traditionally available only for the wealthy,Live,Custodial,Public,-,-,2017,SG,,,https://www.addx.co,https://twitter.com/ADDXco,,15/9/2023
AgriFi,Credit protocol (asset-backed),,Sustainable and Responsible Investments,Agriculture,"AgriFi seeks to reimagine how farmers engage with the market and exercise their sovereignty. Through digitalization and smart contracts, agricultural markets can become fairer, more transparent, more connected, and more inclusive. Uses zk-proof KYC on ToroNet.",Closed beta,Non-custodial,Public,ToroNet,-,,,,,https://agrifiafrica.com/,-,-,19/9/2023
Agrotoken,Tokenization platform ,,Sustainable and Responsible Investments,Agriculture,"Agrotoken is the first global tokenization infrastructure for agrocommodities. We create a secure and frictionless ecosystem to make trading grains easier, more efficient and more reliable.",Live,Non-custodial,Public,"Ethereum,Polygon,Algorand",-,2020,AR (Buenos-Aires),"Argentina, Brazil",,https://www.agrotoken.com,https://twitter.com/agrotoken,-,15/9/2023
Ainslie Bullion,Assets CEX,,Commodities and Precious Metals,Gold and silver,"Arm of the Ainslie Group, which is an Australian-based commodity broker. Its primary tokenized product is gold bullion. Complete your purchase online, on the phone or in-person at our Brisbane and Melbourne offices. We’re SMSF compliant and able to transact up to $20m. We’re here to help answer all of your questions. You can also swap between bitcoin or any offered cryptocurrency and bullion product. Creators of https://goldsilverstandard.com/",Live,Custodial,?,?,-,2011,AU (Brisbane),Australia,https://ainsliecrypto.com.au/Dashboard,https://ainsliecrypto.com.au/,https://twitter.com/ainsliebullion,-,15/10/2023
Akru,Investment platform,Tokenization platform,Real Estate,Real estate (commercial),"AKRU leverages powerful blockchain technology to fractionalize real estate assets, making quality commercial real estate available to investors for as little as $1,000.",Waitlist,?,Public,?,-,2018,,,,https://www.akru.com,https://twitter.com/akru_co,-,15/9/2023
Aktionariat,Investment platform,Tokenization platform,Equity and Stocks,Public equities,The Swiss-based Aktionariat is one of the few protocols providing a platform for legal security tokens. They offer digital stocks for 40 companies from the Swiss market. Aktionariat’s solution can improve liquidity and bring new investors to thousands of businesses by creating a market for tokenized shares directly on an issuer's website. ,Live,Non-custodial,Public,Ethereum,-,2020,CH (Zürich),Switzerland,,https://www.aktionariat.com,https://twitter.com/aktionariat,-,15/9/2023
Allfunds Blockchain,Tokenized fund,,- Asset-agnostic,"ESG,Private funds","Allfunds (AMS: ALLFG) is one of the leading global WealthTech companies with a service offering tailored for Fund Houses and Distributors that ranges from dealing and execution services, to data analytics, reporting and portfolio tools, ESG advisory and custom software solutions.

For more than twenty years, Allfunds has created an efficient, secure ecosystem that hosts the largest fund distribution network, offering access to the world’s most comprehensive universe of mutual funds, ETFs and alternative assets.",Live,Custodial,Private,?,,2022,ES (Madrid),,,https://allfunds.com/en/,https://twitter.com/allfunds_sau,-,15/10/2023
AllianceBlock,Tokenization platform ,,- Asset-agnostic,"Collectibles,Agriculture,Private equities",E-2-e infrastructure that empowers businesses of all sizes to access new oppos with tokenization. Launches many projects on Toronet.,Live,Custodial,Public,-,$NXRA,2018,NL (Utrecht),,,https://www.allianceblock.io,https://twitter.com/allianceblock,,15/9/2023
AlloyCapital,Tokenization platform ,,Equity and Stocks,"Public equities,Private equities,Private funds","Alloy is a one-of-a-kind Institutional Operating System for all-things Digital Assets. Launch bankable products like funds or tracker certificates using Alloy to run your own DeFi strategies. Whether you are an asset manager, a family office, a bank, or an up-and-coming fintech - There are countless ways to leverage Alloy for your business. Seamless integration into existing tech infrastructure and reporting / monitoring systems through all-in-one API solution",Closed beta,Custodial,Public,?,-,2021,CH (Zürich),,,https://www.alloy.capital,-,-,19/9/2023
Alphaledger,Investment platform,Tokenization platform,Public Debt Instruments,Municipal bonds,"Bond Investment Platform that streamlines debt financing and increases direct engagement with investors, with a focus on US municipal market. Build a better municipal bond market; one focused on direct, transparent, and accessible primary issuance and secondary market trading.",Live,Custodial,Public,-,,2019,"US (Poulsbo, WA)",,,https://www.alphaledger.com,https://twitter.com/alpha_ledger,,15/9/2023
AlphaPoint,Assets exchange infra,,- Asset-agnostic,- Asset-agnostic,"AlphaPoint is the white label platform for exchanges, brokerages and tokenization of assets: 
Exchange Software
Liquidity Solutions
eOTC Trading",Live,Custodial,Public,-,,2013,US,US (NY),,https://www.alphapoint.com,https://twitter.com/AlphaPointLive,,15/9/2023
Alta,Investment platform,,- Asset-agnostic,"Private debt,Private equities,Collectibles",Largest Alternative Asset Exchange in Southeast Asia today. Diversify with opportunities in private markets and other alternative assets and products. ,Live,Custodial,Public,?,,2015,SG,S-E Asia,"620+ Companies and funds currently raising capital USD22B+ Worth of deals mandated for investor syndication 1,500+ Total completed transactions",https://alta.exchange/,https://twitter.com/AltaGroupCo,-,15/10/2023
Alta.Finance,Investment platform,Tokenization platform,Real Estate,Real estate (commercial),"Invest in secure, steady US real estate projects to earn daily returns, conveniently redeemed straight into your Web3 wallet.
ALTA Finance provides a smooth, modern, and reliable real estate investing experience tailored to the Web3 investor. Embark on your investment journey with highly accessible minimums as low as $100 USDC.",Live,Non-custodial,Public,"Polygon,Optimism,Ethereum",,2020,"US (Orem, Utah)",US,,https://www.alta.finance,https://twitter.com/altafinance,-,15/9/2023
AmazingBlocks,Tokenization platform ,,Equity and Stocks,Private equities,Tokenization platform according to Liechtenstein act,Dead,-,-,-,,,LI,-,,https://www.amazingblocks.io,-,-,15/9/2023
Americana,Tokenization platform ,,Collectibles and Alternatives,Collectibles,"Americana facilitates the buying, selling and transacting of blockchain verified physical assets. Systemizing on-chain provenance tracking, authentication, professional-grade digitization, condition reporting, and industry leading vaulting security services. Authentication & COA Issued
Assets are professionally digitized and authenticated with an Americana COA generated directly from the creator or established expert (for non-living creators) and recorded on the blockchain for clear and transparent authenticity reference. Our handlers provide bespoke crating solutions and transportation to our secure, climate-controlled Americana vault. Monitored 24/7 by state-of-the-art security under Crozier management. We offer a breadth of digitization services ranging from high-resolution image capture to 3-D scanning solutions. Americana NFC COA connects the physical asset to the Americana provenance record. ",Waitlist,Non-custodial,Public,Ethereum,,2021,,,,https://www.americana.io/,https://twitter.com/americananft,https://discord.com/channels/882704062410260480/971944899219963914,15/10/2023
AmerX,Bank working with tokenization,,Equity and Stocks,Private equities,Americas Executions (AmerX) is proud to be one of the earliest investment banks in the blockchain technology space. We combine big-bank global reach and services with the personal attention of a boutique investment firm. Lead IB and Broker-Dealer for tZERO's Offering $100+ Million Raised,Live,-,-,-,,2015,,,,https://www.amerx.com/,-,-,15/10/2023
AmFi,Credit protocol (asset-backed),,Financial Services and Payments,Receivables,Connects private debt originators and capital markets via blockchain,Live,Non-custodial,Public,Avalanche,$ABRL stablecoin. Pegged to BR Real,2022,BR,Brazil,,https://www.amfi.finance,https://twitter.com/amfifinance,,15/9/2023
Angle,Stablecoin (RWA- or Fiat- backed),,Public Debt Instruments,Govenment bonds (long-term / non-US),"Angle Protocol combined efforts with Backed Finance and RedStone Oracles to add tokenized RWA to agEUR reserves. For starters, short-term and risk-free Euro bonds ETF (C3M) have been introduced,",Live,Non-custodial,Public,"Ethereum,Optimism,Polygon,Arbitrum,BNB,Avalanche,Gnosis,Celo",$agEUR,2021,,,,https://www.angle.money,https://twitter.com/AngleProtocol,https://discord.com/invite/5Af6xum9bc,22/9/2023
Anzen,Default insurance market,,Insurance and Claims,Credit and financial risk insurance,Consistent fixed-income yields backed by inst-grade private credit assets. Features they want to build: use asset token as collateral on Compound.,Closed beta,?,?,?,,2022,,,,https://www.anzen.finance,https://twitter.com/AnzenFinance,,15/9/2023
Arbol,Insurance protocol (real world),,"Sustainable and Responsible Investments,Insurance and Claims,Commodities and Precious Metals","Agriculture,Natural disaster claims,Energy commodities","The future of climate risk management. We bring efficiency, transparency, and scale to climate risk management using data, blockchain and an AI-powered pricing platform. Our contracts payout rapidly - much faster than the rest of the industry - when your selected data triggers are met, eliminating needless hassles, lengthy and subjective loss calculation and mountains of paperwork.",Live,Custodial,?,?,,2018,US (NY),,,https://www.arbol.io/,https://twitter.com/ArbolMarket,-,15/10/2023
Archax,Assets CEX,,- Asset-agnostic,- Asset-agnostic,"UK FCA regulated digital security exchange. Additionally has FCA brokerage, custody and cryptoasset permissions.",Live,Custodial,Public,-,,2018,UK(London),,,https://www.archax.com,https://twitter.com/ArchaxEx,,15/9/2023
Archblock,Investment platform,Tokenization platform,- Asset-agnostic,"Real estate,Private debt,Government bonds (short-term / US)","Archblock is a decentralized alternatives Investment Platform built on TrueFi's open, transparent and immutable financial infrastructure. Archblock offers globally accessible, diversified investment opportunities.",Live,Non-custodial,Public,Ethereum,,2017,,,,https://www.archblock.com,https://twitter.com/Archblock_,,15/9/2023
Arcoin by Arca (on Securitize),Tokenized fund,,Public Debt Instruments,Government bonds (short-term / US),"Shares will be issued through ArCoin digital asset security tokens, and records of token ownership and history will be maintained off-chain. Securitize will be the fund’s transfer agent and responsible for providing the smart contract and issuance platform behind the fund. AUM: $383,359.47 (Sep'23)",Live,Custodial,Public,Ethereum,$RCOIN,2018,US,USA,,https://www.arcalabs.com/about-arcoin,https://twitter.com/arcalabs,-,15/9/2023
Arcton,Crowdinvesting,,Equity and Stocks,Private equities,"Swiss first public marketplace for startup IPOs. Marked as 'rising star' in the RWA market by DeFiSaint. Transform traditional startup equity into digital tokens, harnessing blockchain's security and efficiency. invest seamlessly to acquire your stake with CHF, EUR or USDC. Trade your tokenized shares anytime on Camelot Decentralized Exchange, enjoying the ease and freedom of transacting whenever the moment feels right.",Live,Non-custodial,Public,Arbitrum,-,2022,CH (Zürich),CH,,https://www.arcton.com,https://twitter.com/Arctonhq,-,19/9/2023
Arf,Credit protocol (asset-backed),,Financial Services and Payments,Remittances,"Settlement Banking Platform for Financial Institutions. Arf is a global settlement banking platform, eliminating the capital-intensive business model of the cross-border payments industry by offering digital asset-based working capital and settlement services with native on-ramp and off-ramp capabilities to licensed financial institutions. ",Live,Non-custodial,Public,Stellar,,2019,CH (Zug),,https://dune.com/arf_financial/arf-financial,https://www.arf.one,https://twitter.com/arf_one,,15/9/2023
ArkeFi,Investment platform,,Collectibles and Alternatives,Collectibles,"Investing in a buy-back option allows you to purchase artworks at 50% of their market value for a specific time period. You can earn an expected return of at least 4% per year. If the seller does not execute their buy-back within the allotted time, ownership of the artwork remains with you, unlocking limitless potential for future gains. Arkefi provides a secure custody solution for physical artworks and creates authenticated digital representations on the blockchain, which is then divided into smaller units that can be easily bought and sold by investors. The artworks are held in custody on behalf of the seller and buyer in bonded warehouses located in Switzerland. ",Live,Custodial,Public,Avalanche,-,,CH (Zürich),,,https://www.arkefi.com,https://twitter.com/_Arkefi,-,19/9/2023
